Vendor,Category,City,Phone,Email,Description,Google Maps,IG
Palais Annakhil,Venue,Rabat,06 61-991479,,"Votre destination pour des événements inoubliables !  Mariages, fêtes, et plus encore","Palais annakhil attasnia al massira, Temara",https://www.instagram.com/palaisannakhil_/
Palais Elga,Venue,Bouskoura,06 61167872,,l’espace de référence pour réussir tout vos événement,Bouskoura,https://www.instagram.com/palais_elga/
Sabor Events,Event Planner,Rabat,06 37 507 332,,Traiteur et Organisations d'évènements,https://maps.app.goo.gl/YMsCwjE9mpbzSZDE9,https://www.instagram.com/sabor.rabat/
Tazi Palace,Venue,Rabat,06 68644033,,"A Historic Palace | Over 100 years of Legacy. Ideal for Luxurious & Tailored Events, indoors & outdoors",,https://www.instagram.com/palaistazi/?hl=fr
Sekkate Traiteur,Caterer,Casablanca,06 61 60 92 17,,,,https://www.instagram.com/sekkate_traiteur/?hl=fr
Adil Hajji,Artist,Fes, 06 79 85 43 09,adilhajjiartiste@gmail.com,Groupe Issawa - Bola Bola 🥇 Pour tous vos événements prestigieux !,,https://www.instagram.com/adilhajjiofficiel/
princess Caftan,Dresses,Fes,06 59 13 25 13,,"Location & Vente de Tenues Marocaines Traditionnelles, Caftans – Takchitas – Djellabas",,https://www.instagram.com/princess_caftan_chez_ikram/?hl=fr
Neggafa Majda Benjelloun,Negafa,Rabat / Casablanca / Fes,06 60182649,,Maison de Tenguif de Luxe ,,https://www.instagram.com/negafa.majda.benjelloun/?hl=fr
The Queen,Venue,Fes,,,,"Complexe touristique La Perla , Km 10, Route de Meknes, Fes, Fez, Morocco 3000",https://www.instagram.com/salle_polyvalente_the.queen/?hl=fr
Younès Mèlyani violoniste,Artist,Fes,06 02 02 20 19,younes.melyani@gmail.com, Violin performer🎻 / Bridal Entrances / Dinners / Openings,,https://www.instagram.com/younes.melyani.violoniste/?hl=fr
Elachouri Photographe,Photographer,Fes,,, créateur de souvenirs,https://maps.app.goo.gl/1X3KKfU2sGDZETit9,https://www.instagram.com/elachouri_photographe_officiel
Traiteur Dar El khir,Caterer,Fes, 06 61 600 941,,"L'art de la table, avec une touche de perfection ",https://maps.app.goo.gl/CGwUvdTyJYcVjNdc6,https://www.instagram.com/traiteur_darelkhir/?hl=fr
negafa zenoubaslimani,Negafa,Fes,06 21165557,,Tanguif de luxe,,https://www.instagram.com/tanguif.alf.lila.w.lila/?hl=fr
negafa haja latifa,Negafa,Fes,07 07730467,,Tanguif des mariées,Route ain Chkef En face cafe NAS FES,https://www.instagram.com/negafa.haja.latifa/?hl=fr
Dj Reda,Artist,Fes,06 34086921,,,,https://www.instagram.com/dj_reda_/?hl=fr
Sahel Traiteur,Caterer,Fes,06 61704881,,Organisation d’événements haut de gamme,https://maps.app.goo.gl/qV15JBBDP7ik3Mnr7,https://www.instagram.com/sahel_traiteur/?hl=fr
Traiteur dar el kadima by bennani,Caterer,Fes,,,,,https://www.instagram.com/mimiya_by_dar_el_kadima/?hl=fr
Bouchra Dar Lalla Khnata,Negafa,Fes,06 09306016,,Tangaft & Haute couture,,https://www.instagram.com/negafa.dar.lalla.khnata/?hl=fr
Jihane Loukili,Makeup,Fes,06 95 64 11 73,,Professional Makeup Artist & Hairstylist | Bridal Makeup | Lifestyle |,maps.app.goo.gl/jq6Uw7QAdQ9tUUME7?g_st=ii,https://www.instagram.com/jihane_makeup_artist/?hl=fr
Asouma Makeup,Makeup,,,,,,https://www.instagram.com/asouma_makeup_/?hl=fr
Wafaa makeup,Makeup,,,,,,https://www.instagram.com/wafaa_makeup.12/?hl=fr
Le Pavillon d'or,Venue,Fes,06 61365449,,"Weddings & Luxury Events 💎 Salle des fêtes et de spectacles, Maison d'hôtes,Palais des congrès",https://maps.app.goo.gl/r2Ygbfr14oY6wURt9,https://www.instagram.com/lepavillon_dor/?hl=frr
Palais Jawhara Rabat,Venue,Rabat,06 61 392231,,La destination de luxe pour vos événements. Mariages de rêve & conférences exclusives,https://maps.app.goo.gl/dYWM1tNFa8wwJDgD6,https://www.instagram.com/palais.jawhara.rabat/?hl=fr
Maison Seyad,Venue,Rabat,06 69 53 59 24,,"Du nord au sud, de l’est a l’ouest, nous apportons l’élégance culinaire à chaque coin du Maroc.",,https://www.instagram.com/maisonseyad/?hl=fr
Karim Boudrika,Artist,Rabat,06 61 99 76 20,,"Orchestre Karim Boudrika ✨, Le plaisir d’animer vos occasions 💫",,https://www.instagram.com/karimboudrika/?hl=fr
Mounir Addahbi,Artist,Rabat,06 61 88 16 95,,,,https://www.instagram.com/mouniraddahbi/?hl=fr
THE WHITE PALACE,Venue,Rabat,06 20 10 06 00,,Maison d’hôte de luxe - Événementiel - Restauration & Café,"Angle Bani Ourraine Souissi, Rabat, Morocco 10000",https://www.instagram.com/thewhitepalacerabat/?hl=fr
La Maison Blanche,Venue,Rabat,06 61 21 21 50,,Notre palais des congrès est un lieu unique alliant proximité de la capitale et adaptabilité maximale aux types des événements qui y seront organisés.,,https://www.instagram.com/lamaisonblancherabat/?hl=fr
orchestre samir kaissi,Artist,Rabat,06 66 04 45 07,,,,https://www.instagram.com/orchestre_samir_kaissi/?hl=fr
RLJ Events,Event Planner,Rabat,06 76 76 50 70,,,,https://www.instagram.com/rlj.creative/?hl=fr
Samraa traiteur,Caterer,Rabat/Kenitra,06 66 03 43 73,,,,https://www.instagram.com/traiteursamraa/?hl=fr
Perlachic Events,Event Planner,Rabat,06 61 08 11 62,,,"Bloc DF N°37 Kouass, Rabat, Morocco 10120",https://www.instagram.com/perlachicevents/
Dawliz Hôtel Art & Spa 5,Venue,Rabat,05 37 88 32 77,experience@hoteldawlizrabat.ma,,"Avenue du Prince Héritier, Sali, Rabat-Sale, Morocco 10000",https://www.instagram.com/d.hotelrabat/
Palais Trachen,Venue,Rabat,06 61 51 13 38,,,"https://www.google.com/maps?q=Palais+Trachen+(Kasr+Trachen),+1+Tirana%D8%8C+Rabat+10020&ftid=0xda76def388ed3d5:0x5707fb3ad7df9581&hl=fr-MA&gl=ma&entry=gps&lucs=,47071704&g_ep=CAISBjYuNzMuMhgAINeCAyoJLDQ3MDcxNzA0QgJNQQ%3D%3D&g_st=ic",https://www.instagram.com/palais.trachen/
saad events,Caterer,Casablanca,06 48 09 81 47,,,,https://www.instagram.com/saad.events1/
TRAITEUR MAISON SKALLI,Caterer,Casablanca,06 45 39 39 69,,,,https://www.instagram.com/traiteur_maison_skalli/
ASSALA EVENT,Event Planner,Casablanca,,,,,https://www.instagram.com/assala_events
Negafa Dar Elfakhama,Negafa,Casablanca,06 31 11 72 95,,,"A lot mountazah 3 Rte Mke , Fès",https://www.instagram.com/negafa_darelfakhama/?hl=en
Nawal Signature,Decor,Casablanca, 06 61 44 31 20,,,https://maps.app.goo.gl/Be2o5PGLbuxPzFt3A,https://www.instagram.com/nawalsignature/
Dar EL Marjane,Venue,Casablanca,06 61 57 80 75,,,"https://www.google.com/maps/place/Dar+El+Marjane,+Mediouna+P3028,+Route,+Bouskoura+20450/@33.4495648,-7.5550052,12z/data=!4m6!3m5!1s0xda631eb87aaa139:0x3b530c7cc27faa7f!8m2!3d33.4418882!4d-7.5402292!16s%2Fg%2F11nxvdt09g?hl=fr-ma&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnuJ7d_5ZmJWmR566F_X1cNoTFZ--4F_fKiGAP1eJ8fmjPH4MaygI8ba1ryYE_aem_DV5AOK74emfzdCqXLfzfcg",https://www.instagram.com/dar.elmarjane/
Traiteur Adil,Caterer,Casablanca,06 61 25 40 89,,,,https://www.instagram.com/traiteur_adil_event/
Salle Cristal,Venue,Casablanca, 06 79 17 79 70,,Salle des fêtes marocaine ✨🇲🇦 ( 3 Salles avec Des Style Différents ) Mariages | Évènements | Fiançailles,"Bd Chefchaouni, Casablanca 20250, Casablanca, Morocco",https://www.instagram.com/salle.cristal//
Moulay mehdi mansour,Artist,Casablanca,06 00 39 23 88,,,,https://www.instagram.com/issawa_moulay_mehdi_mansour/
Fakhar Events,Event Planner,Casablanca,,,,,https://www.instagram.com/fakhar_events/
Arous Elhama,Negafa,Casablanca,06 66 27 99 08,,,,https://www.instagram.com/arous_elhama/
Kouki,Makeup,Fes,,,,,https://www.instagram.com/hairstyle_bykouki/
Laraki Traiteur,Caterer,Meknes,06 61 80 43 48,,,,https://www.instagram.com/laraki_traiteur
Yes Day,Dresses,Kenitra, 06 65 64 52 15,,,,https://www.instagram.com/yessday1
Event Planner By Hanane,Event Planner,Rabat,,,,,https://www.instagram.com/paradise_of_love_h
Yammad Traiteur,Caterer,Casablanca,06 65 43 66 64,,,,https://www.instagram.com/yammad.traiteur/
Meriem Lahlou photographie,Photographer,Rabat,06 54 04 21 96,,,,https://www.instagram.com/meriem_lahlou_photographie
Negafa Dar Alya,Negafa,El Jadida,06 67 89 04 83,,,"Villa 68, lot El Qods, koudia, El Jadida",https://www.instagram.com/negafa.dar.alya
MAISON DMANA,Event Planner,Casablanca,,,,"Maroc, Casablanca, Centre Ville",https://www.instagram.com/maisondmana/
La Hacienda De Morafia,Venue,Casablanca,06 61 41 89 94,lahaciendademorafia1@gmail.com,,,https://www.instagram.com/la_hacienda_de_morafia/
Traiteur et salle des fêtes Riad El Asmar,Event Planner,Casablanca,06 73 90 92 61,,,,https://www.instagram.com/event_planner_riad_el_asmar
Riad Albaidaa,Venue,Casablanca,06 75 70 98 03,,,route Moulay Thami Dar Bouazza Casablanca,https://www.instagram.com/riadalbaidaa
Photo Alaoui,Photographer,Casablanca,06 61 13 36 32,,,,https://www.instagram.com/photoalaoui/
Traiteur Elidrissi,Caterer,Casablanca,06 69  61 01 77,,,,https://www.instagram.com/traiteur_elidrissi/
Wahib Youness,Artist,Casablanca,06 61 79 57 55,,,,https://www.instagram.com/bolabolawahib.officiel/
palais des ambassadeurs,Venue,Casablanca,06 73 90 92 61,,,,https://www.instagram.com/palais_des_ambassadeurs/
Monsieur Prestige,Caterer,Casablanca,06 75 90 6377,,,"https://www.google.com/maps?q=H87H+Q67+MONSIEUR+PRESTIGE+TRAITEUR,+Av.+C,+Casablanca+20250&ftid=0xda7d37a6115b037:0x9542c71a734853f&entry=gps&lucs=,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISEjI0LjUwLjAuNzA0NDI3ODkxMBgAINeCAypjLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjAzMDE5LDQ3MDg0MzA0LDk0MjA4NDU4LDk0MjA4NDQ3QgJNQQ%3D%3D&g_st=com.google.maps.preview.copy",https://www.instagram.com/monsieur_prestige_traiteur/
ISSAWA HAJ YOUSSEF BOUFOUS,Artist,Casablanca,06 64 40 16 30,,,"bouchantouf rue 48 N23, Casablanca, Morocco 20550",https://www.instagram.com/issawa_haj_boufous_youssef/
Lamrini Traiteur,Caterer,Casablanca,06 60 67 34 22,,,,https://www.instagram.com/lamrinitraiteur/
Salle Jnane Essalam,Venue,Rabat,,,,,https://www.instagram.com/sallejnaneessalam
Mustapha Saidi,Artist,Rabat,06 61 36 14 25,,,,https://www.instagram.com/orchestre_el_saidi/
Salle Et Traiteur AlQuods,Venue,Casablanca,07 00 71 78 99,,,,https://www.instagram.com/sallealquods
LAILA LASRI,Makeup,Casablanca,06 75 24 28 21 ,,,,https://www.instagram.com/laila.lasri.art
pavillon dahlia,Venue,Casablanca,06 62 21 80 82,,,,https://www.instagram.com/pavillondahlia.maroc
Lahrichi Traiteur,Caterer,Casablanca,06 62 07 19 46,,,,https://www.instagram.com/lahrichi.traiteur/
Dar Lhemma,Negafa,Casablanca,06 19 36 47 93,,,,https://www.instagram.com/darlhemma/
Your Event by FS,Event Planner,Casablanca,,,,,https://www.instagram.com/youreventbyfs/
Fadoua,Makeup,Casablanca,,,,,https://www.instagram.com/fadoua_makeupartistt
Merry Glaam,Makeup,Casablanca,06 14 50 25 03,,,,https://www.instagram.com/merry_glaam
Traiteur Les Soeurs,Caterer,El Jadida,06 49 92 97 30,,,,https://www.instagram.com/traiteur_les_soeurs
Maison Eric traiteur,Caterer,El Jadida,06 61 24 01 65,,,,https://www.instagram.com/maison_eric_traiteur
Loubaba Palace,Venue,El Jadida,06 61 24 01 65,,,,https://www.instagram.com/loubaba.palace/
Villa Tropicale,Venue,El Jadida,06 05 80 29 99,,,,https://www.instagram.com/maison.tropical
Abdelilah Sebbata,Photographer,El Jadida,06 78 36 26 70,sebbataphotography@gmail.com,,,https://www.instagram.com/sebbata_photography/
Allo Mon Photographe,Photographer,El Jadida,,allomonphotographe@gmail.com,,,https://www.instagram.com/allomonphotographe
Twins Photography,Photographer,Casablanca,,,,,https://www.instagram.com/twinsphotography_mc
Yacout Traiteur,Caterer,Marrakech,06 64 54 88 01,,,,https://www.instagram.com/yacouttraiteur
Traiteur Sahraoui,Caterer,Marrakech,06 61 92 90 82,,,"N: 03 BD mozdalifa imm Sami près de cnss dawdiate, Marrakech 40 00",https://www.instagram.com/traiteur_sahraoui_marrakech_
Traiteur Laanaya,Caterer,Marrakech,06 60 67 66 58,,,M Avenue M Business 2ème étage RDV ( GULEZ ),https://www.instagram.com/traiteur.laanaya
Ouriki Traiteur,Caterer,Marrakech,06 61 83 00 84,,,Marrakech rue Allal El Fassi en face Ecole ENCG,https://www.instagram.com/traiteur_ouriki_marrakech
Traiteur Boulonor,Caterer,Marrakech,06 49 59 54 53,,,,https://www.instagram.com/traiteur.boulonor
Bloomette,Event Planner,Fes,06 61 25 52 10,,,,https://www.instagram.com/bloomette.maroc/
Negafa Ahlam Benkirane,Negafa,Fes,06 61 15 94 68,,,ROUTE SEFROU PRÈS DE CAFÉ TITANIC . FÈS,https://www.instagram.com/negafa_ahlam_benkirane/
Saoussane chahdi elouazzani,Makeup,Fes,07 07 12 51 71,,,,https://www.instagram.com/saoussanehairstyle/
Rimass Robe,Dresses,Fes,06 42 40 80 87,,,maps.google.com/?q=34.008789%2C-5.011998,https://www.instagram.com/rimass_robe/
Aarass riad fes idrissi,Venue,Fes,06 61 25 99 29,,,"Aarass Riad Fes Idrissi, Fez, Morocco",https://www.instagram.com/aarassriadfesidrissi/
dj abd samad,Artist,Fes,06 99 72 42 43,,,,https://www.instagram.com/dj_abd_samad/
costume drs,Dresses,Rabat,06 19 86 00 35,,,"https://www.google.com/maps/place/%D9%83%D8%B1%D8%A7%D8%A1+%D9%83%D9%88%D8%B3%D8%AA%D9%8A%D9%85%D8%A7%D8%AA+%D8%B3%D9%84%D8%A7+%D8%A7%D9%84%D8%B1%D8%A8%D8%A7%D8%B7%E2%80%AD/@34.0402866,-6.7812624,17z/data=!3m1!4b1!4m6!3m5!1s0xda76bd88be729b5:0xb37227e0ad9e1ae5!8m2!3d34.0402866!4d-6.7812624!16s%2Fg%2F11scjqj35z?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/costumedrs/
Glowchic makeup,Makeup,Fes,,,,,https://www.instagram.com/glowchic_makeup/
Issawa guissi,Artist,Fes,06 63 71 74 43,,,,https://www.instagram.com/issawa_guissi/
Brahim charkaoui,Artist,Meknes,07 02 36 29 19,,"• É𝐥é𝐠𝐚𝐧𝐜𝐞 𝐦𝐮𝐬𝐢𝐜𝐚𝐥𝐞 𝐬𝐮𝐫 𝐦𝐞𝐬𝐮𝐫𝐞
• 𝐎𝐫𝐜𝐡𝐞𝐬𝐭𝐫𝐞 & 𝐀𝐦𝐛𝐢𝐚𝐧𝐜𝐞 𝐫𝐚𝐟𝐟𝐢𝐧é𝐞
• 𝐅𝐚𝐢𝐭𝐞𝐬 𝐯𝐢𝐛𝐫𝐞𝐫 𝐯𝐨𝐬 𝐬𝐨𝐢𝐫é𝐞𝐬 𝐝’é𝐦𝐨𝐭𝐢𝐨𝐧",,https://www.instagram.com/brahim_charkaoui_officiel/
Dj lamrabat issam,Artist,Fes,06 45 17 35 02,,Une animation de qualité pour faire de votre soirée une moment inoubliable,"Route sefro avenu haifa, Fès Jdid, Fès, Morocco",https://www.instagram.com/dj_lamrabat_issam/
Fleur deco,Decor,Meknes,07 73 15 64 78,,"Personnalisations des bouquets💐
Decoration des Salles,voiture",https://maps.app.goo.gl/MBkdnimaP1nzF7qQ6,https://www.instagram.com/fleur__deco/
Gazelle Khalouki,Decor,Meknes,07 07701313,,,https://maps.app.goo.gl/MBkdnimaP1nzF7qQ6,https://www.instagram.com/fleurs_de_gazelle/
Maroua store,Dresses,Meknes,06 14175171,,"Votre destination caftan et accessoires 👑
Vente et location 💚
Élégance–Tradition-beauté",maps.app.goo.gl/ZLZuCGQxuqQE5vaS7?g_st=ic,https://www.instagram.com/store.maroua/
Artfleuriste events,Decor,Meknes,07 08000035,,"🎉 Déco pour événements & jardins
🌸 Fleurs naturelles & artificielles",,https://www.instagram.com/artfleuristema/
Saison des fleurs,Florist,Tanger,06 43423134,,"🌸Artiste fleuriste
Vente d’emballage pour fleurs",https://maps.app.goo.gl/ZvCBKqidr8hEoaeo8,https://www.instagram.com/saison_desfleurs/
Wridat Kawtar's Gift,Decor,Rabat,07 68015975,,"Fleuriste, plantes & cadeaux","Avenue Hassan II, Bâtiment A, N°2, proche de Assurance BenKirane Sala al jadida",https://www.instagram.com/wridaat/
LesFleurs D'antoine,Decor,Casablanca,0665 67 50 67,,Flowers - Plants & Every day occasions 🌹💕,"31 rue des Ecoles par Bd Ghandi / yacoub Mansour, Casablanca, Morocco 20000",https://www.instagram.com/lesfleursdantoine/
Floralia By Sofia Alami,Decor,Casablanca,06 72 32 29 94,,"🌹Making magic with flowers
Service d’organisation d’événements","6 Rue Caid El Achtar, Casablanca, Morocco",https://www.instagram.com/floralia_sofiaalami/
Langage de fleurs,Decor,Casablanca,,,,,https://www.instagram.com/langage.defleurs/
Fleuriste Marrakech,Decor,Marrakech,06 63 152419,,,"https://www.google.com/maps/place/31%C2%B039'11.7%22N+8%C2%B000'28.9%22W/@31.653237,-8.00802,17z/data=!3m1!4b1!4m4!3m3!8m2!3d31.653237!4d-8.00802?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/fleuriste_marrakech_officiel/
INAYA by S-Hairstylist,Makeup,Casablanca,,,,,https://www.instagram.com/inayabys/
Otmane Nkar,Artist,Rabat,06 61 94 03 58,,,,https://www.instagram.com/otiis.events/
DAR LAMZOURI,Event Planner,Rabat,06 64 20 07 30,,,"immeuble 13 Mohamed V Opéra, Av. Mohamed V, Salé 11150, Salé 11150",https://www.instagram.com/tangif_dar_lamzouri/
Bolabola Mehdi sitar,Artist,Casablanca,06 95 555 051,,,,https://www.instagram.com/mehdi_sitar_officiel/
YASSINE KADMIRI,Artist,Marrakech,06 65950106,,,"24; bd Ibnou sina Hay hassani, Casablanca, Morocco 20230",https://www.instagram.com/yassine_kadmiri_officiel/
Princess caftan chez ikram,Dresses,Fes,0659 13 25 13,,"🎉 Location & Vente de Tenues Marocaines Traditionnelles 🎉
👗 Caftans – Takchitas – Djellabas",,https://www.instagram.com/princess_caftan_chez_ikram/?hl=fr
Golden Al Mansour,Venue,Meknes,07 74042542 ,,"🍴Restaurant gastronomique marocain
🎊Salle des fêtes festive
🏨Riad accueillant",maps.app.goo.gl/FCX7VXvcjQGzB7C88,https://www.instagram.com/golden_al_mansour_meknes/
Orchestre Kamal Lebbar,Artist,Fes,0661 693 683,,,,https://www.instagram.com/kamallebbar/
Mehdi Alami,Artist,Fes,06 75 97 38 68,,,,https://www.instagram.com/mehdi.alamidj/
Mourad Elfassi,Artist,Fes,06 20356456,,,,https://www.instagram.com/mourad_elfassi/
adnane tanguif,Event Planner,Meknes,05 32090545,,,im 41 belle vue3 Bd bir anzarane Meknès,https://www.instagram.com/adnane_tanguif/
Maitre Zemrani Traiteur,Caterer,Marrakech,06 61 34 03 49,,,,https://www.instagram.com/zemranimaitretraiteur_officiel/
Golden White Palace,Venue,Marrakech,0661-340349,,,"Wahat sidi Brahim N°1, Palmeraie Ouest 2 route de. Belaguid",https://www.instagram.com/goldenwhitepalace/
Dar Ba Sidi,Venue,Fes,06 60088995,,"Vous cherchez un lieu unique pour célébrer vos plus beaux moments ?
Bienvenue à Dar Basidi, la salle de fête idéale à Fès !
💍 Mariage, fiançailles, anniversaires, ou soirées privées…
Offrez à vos invités une ambiance magique et chaleureuse ✨

🌿 Décor traditionnel marocain
🎶 Espace spacieux et ambiance personnalisée
📍 Emplacement pratique à Fès",maps.app.goo.gl/pK5ytc74QLsRWTuz5?g_st=ic,https://www.instagram.com/dar_ba_sidi/
Karima Riffi Doreve,Caterer,Fes, 06 57 073 073,,,,https://www.instagram.com/doreve.traiteur/
Traiteur sbai,Caterer,Fes,06 61650099,,,"Mohamed 6 hay lala soukaina, Fez, Morocco 30000",https://www.instagram.com/traiteur_sbai/
Chocolat de joie,Decor,Fes,06 61978478,,,Rte ain Chkef prêt de Upf .Fes,https://www.instagram.com/chocolat.de.joie/
YOUSSEF EVENT,Event Planner,Fes,06 49113767,,"Nous vous proposons des prestations de qualité pour tous vos événements: mariage, fiançailles, baptêmes .","حي القروين طريق عين شقف قرب الجامعة الخاصة, Fez, Morocco 30020",https://www.instagram.com/youssef_event/
prestige fes event,Event Planner,Fes,06 62 82 74 71,,,,https://www.instagram.com/prestigefesevent/
La Majorelle,Venue,Rabat, 06 61 90 89 21 ,,,maps.google.com/?q=33.936443%2C-6.901403,https://www.instagram.com/lamajorelle.eventspace/
villa slaoui,Venue,Rabat,06 43780612,,,harhoura,https://www.instagram.com/villa_slaoui/
Malika Rahal,Makeup,Rabat,06 6111 53 561,,,,https://www.instagram.com/malika_rahal_/
El HAJ ABDELOUAHED,Artist,Rabat,06 61150979,,,,https://www.instagram.com/haj_abdelouahed_bola_bola/
Bola Bola - femmes,Artist,Rabat,06 61150979,,,,https://www.instagram.com/bola_bola_femmes_original/
Traiteur Ch'hiwates Bennani,Event Planner,Rabat,06 60127679,,,"11 boulevard Atlas, Agdal, Rabat",https://www.instagram.com/chhiwates_bennani/
Yassine Ajana,Event Planner,Meknes,06 00573340,,"Tengaf Yassine Ajana
Élégance marocaine","Bassatine Meknes, Meknes 50000",https://www.instagram.com/tengafyassineajana/
Amine Art Events,Event Planner,Marrakech,06 62 11 55 74,,🎆Éclairage 🏗️ Structure 🎚️Sonorisation. 💫Décoration pour Fêtes et Événements,,https://www.instagram.com/amine.art.events/
Afrah Darna,Venue,Marrakech,06 61 404859 ,afrahdarna@gmail.com,,"bureau num 18, espace al mostafa, rue al azhari lamhaita, semlalia, Marrakech 40000",https://www.instagram.com/afrahdarna/
